complex_id,fragment_id,polymer,condition,functional_group,pose_number,binding_site,initial_distance_A,final_energy_Eh,Cd_MP_O_min_A,Cd_surface_min_A,Cd_O_contacts_2p9A,opt_status,optimized_xyz,log_path,notes,relative_energy_kcal_mol,selected_for_DFT
PE_F_CdH2O6_pose01,PE_F,PE,fresh,alkyl,1,C_site_index_3,3.3,-63.206906728767,,2.1222184081651103,0,success,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/optimized_structures/PE_F_CdH2O6_pose01_xtbopt.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/logs/PE_F_CdH2O6_pose01.log,,23.817663174769,True
PE_F_CdH2O6_pose02,PE_F,PE,fresh,alkyl,2,C_site_index_4,3.3,-63.186345756159,,2.108370684333274,0,success,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/optimized_structures/PE_F_CdH2O6_pose02_xtbopt.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/logs/PE_F_CdH2O6_pose02.log,,36.719858535044175,False
PE_F_CdH2O6_pose03,PE_F,PE,fresh,alkyl,3,C_site_index_5,3.3,-63.229334166858,,3.209229929046168,0,success,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/optimized_structures/PE_F_CdH2O6_pose03_xtbopt.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/logs/PE_F_CdH2O6_pose03.log,,9.744243925723467,True
PE_F_CdH2O6_pose04,PE_F,PE,fresh,alkyl,4,C_site_index_6,3.9,-63.183351704215,,1.5677794226897932,0,success,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/optimized_structures/PE_F_CdH2O6_pose04_xtbopt.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/logs/PE_F_CdH2O6_pose04.log,,38.59865307637191,False
PE_F_CdH2O6_pose05,PE_F,PE,fresh,alkyl,5,C_site_index_7,5.5,-63.244862619718,,3.836154255911751,0,success,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/optimized_structures/PE_F_CdH2O6_pose05_xtbopt.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/logs/PE_F_CdH2O6_pose05.log,,0.0,True
PE_COOH_CdH2O6_pose01,PE_COOH,PE,oxidized,terminal_COOH,1,O_site_index_9,2.8,-67.033938522741,2.3582976833277205,2.3582976833277205,2,success,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/optimized_structures/PE_COOH_CdH2O6_pose01_xtbopt.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/logs/PE_COOH_CdH2O6_pose01.log,,117.00301834526275,False
PE_COOH_CdH2O6_pose02,PE_COOH,PE,oxidized,terminal_COOH,2,O_site_index_10,2.8,-67.220394841846,3.373912729502456,2.754470913079769,0,success,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/optimized_structures/PE_COOH_CdH2O6_pose02_xtbopt.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/logs/PE_COOH_CdH2O6_pose02.log,,0.0,True
PE_COOH_CdH2O6_pose03,PE_COOH,PE,oxidized,terminal_COOH,3,O_site_index_9,2.8,-67.123966016609,3.09847503402227,3.09847503402227,0,success,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/optimized_structures/PE_COOH_CdH2O6_pose03_xtbopt.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/logs/PE_COOH_CdH2O6_pose03.log,,60.509955695643534,False
PE_COOH_CdH2O6_pose04,PE_COOH,PE,oxidized,terminal_COOH,4,O_site_index_10,3.4,-67.219776994156,3.366031218457734,2.7504515129332403,0,success,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/optimized_structures/PE_COOH_CdH2O6_pose04_xtbopt.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/logs/PE_COOH_CdH2O6_pose04.log,,0.38770498610090476,True
PE_COOH_CdH2O6_pose05,PE_COOH,PE,oxidized,terminal_COOH,5,O_site_index_9,5.5,-67.216964960074,7.3795727699602285,6.875101487004011,0,success,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/optimized_structures/PE_COOH_CdH2O6_pose05_xtbopt.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/logs/PE_COOH_CdH2O6_pose05.log,,2.152281680870399,True
PET_F_CdH2O6_pose01,PET_F,PET,fresh,aromatic_diester,1,O_site_index_11,2.8,-79.721603568579,2.418730611847845,2.418730611847845,2,success,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/optimized_structures/PET_F_CdH2O6_pose01_xtbopt.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/logs/PET_F_CdH2O6_pose01.log,,7.64741252945565,True
PET_F_CdH2O6_pose02,PET_F,PET,fresh,aromatic_diester,2,O_site_index_12,2.8,-79.671798615447,4.7516478393087676,2.7611814195860274,0,success,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/optimized_structures/PET_F_CdH2O6_pose02_xtbopt.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/logs/PET_F_CdH2O6_pose02.log,,38.90046886436158,False
PET_F_CdH2O6_pose03,PET_F,PET,fresh,aromatic_diester,3,O_site_index_21,2.8,-79.725515858967,3.8322289080351597,3.5175389701895416,0,success,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/optimized_structures/PET_F_CdH2O6_pose03_xtbopt.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/logs/PET_F_CdH2O6_pose03.log,,5.192415100371318,True
PET_F_CdH2O6_pose04,PET_F,PET,fresh,aromatic_diester,4,O_site_index_22,3.4,-79.61620998463,2.399325772620062,2.399325772620062,1,success,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/optimized_structures/PET_F_CdH2O6_pose04_xtbopt.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/logs/PET_F_CdH2O6_pose04.log,,73.7828349997057,False
PET_F_CdH2O6_pose05,PET_F,PET,fresh,aromatic_diester,5,O_site_index_11,5.5,-79.733790505387,3.506314973504314,3.506314973504314,0,success,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/optimized_structures/PET_F_CdH2O6_pose05_xtbopt.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/logs/PET_F_CdH2O6_pose05.log,,0.0,True
PET_COOH_CdH2O6_pose01,PET_COOH,PET,oxidized,ester_plus_COOH,1,O_site_index_11,2.8,-73.366647628343,2.3829012328383694,2.3829012328383694,2,success,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/optimized_structures/PET_COOH_CdH2O6_pose01_xtbopt.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/logs/PET_COOH_CdH2O6_pose01.log,,32.34226683239407,False
PET_COOH_CdH2O6_pose02,PET_COOH,PET,oxidized,ester_plus_COOH,2,O_site_index_12,2.8,213.264365298896,2.80000000498375,0.09086513032511635,1,failed,,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/logs/PET_COOH_CdH2O6_pose02.log,xTB did not produce xtbopt.xyz; input retained.,179895.88255779122,False
PET_COOH_CdH2O6_pose03,PET_COOH,PET,oxidized,ester_plus_COOH,3,O_site_index_21,2.8,-73.403067945948,2.396404596530099,2.396404596530099,2,success,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/optimized_structures/PET_COOH_CdH2O6_pose03_xtbopt.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/logs/PET_COOH_CdH2O6_pose03.log,,9.488189752402736,True
PET_COOH_CdH2O6_pose04,PET_COOH,PET,oxidized,ester_plus_COOH,4,O_site_index_22,3.4,-73.400457519393,3.537042775179318,3.537042775179318,0,success,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/optimized_structures/PET_COOH_CdH2O6_pose04_xtbopt.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/logs/PET_COOH_CdH2O6_pose04.log,,11.12625590950088,True
