fragment_id,pH,organic_matter_percent,particle_size_um,Cd_total_mg_kg,mean_CMI,background_mean_CMI,median_CMI,background_median_CMI,log2FC_CMI,p_value,P_mobilization_or_higher,P_aging_amplified,n_group,n_background,rank,q_value_raw,q_value,minus_log10_q_raw,minus_log10_q_capped,log2FC_plot,minus_log10_q_plot,volcano_class,label
PE_F,8.0,4.0,500,10.0,0.00033755981340330513,0.008273490981147897,0.0003070295527201,0.00714506229145355,-4.615277034213021,1.0541925777405304e-99,0.0,0.0,300,300,1,8.501008946899637e-96,7.073599654535386e-99,98.15035952364853,8.0,-4.635105096091968,7.985713643495067,reduced mobilization risk,PE_F | pH 8.0 | OM 4.0% | 500 µm | Cd 10.0
PE_F,4.5,0.5,500,0.3,0.001638924511856038,0.04022374716888775,0.001508746872554,0.0360455852536117,-4.617225331087516,1.0541925777405304e-99,0.0,0.0,300,300,2,4.250504473449818e-96,7.073599654535386e-99,98.15035952364853,8.0,-4.611211048999059,8.0,reduced mobilization risk,PE_F | pH 4.5 | OM 0.5% | 500 µm | Cd 0.3
PE_F,6.5,8.0,500,5.0,0.0013872345793430037,0.03403845893837742,0.0012743432992306,0.0302873557410944,-4.616881053115707,1.0541925777405304e-99,0.0,0.0,300,300,3,2.8336696489665454e-96,7.073599654535386e-99,98.15035952364853,8.0,-4.664289211855683,8.0,reduced mobilization risk,PE_F | pH 6.5 | OM 8.0% | 500 µm | Cd 5.0
PE_F,6.5,8.0,1000,1.0,0.00029408661334342405,0.017639272819246973,0.0002701542411703,0.0157329554263738,-5.906401337711832,1.0541925777405304e-99,0.0,0.0,300,300,4,2.125252236724909e-96,7.073599654535386e-99,98.15035952364853,8.0,-5.871507044959114,8.0,reduced mobilization risk,PE_F | pH 6.5 | OM 8.0% | 1000 µm | Cd 1.0
PE_F,6.5,8.0,1000,5.0,0.0005537531051427439,0.03321403169314204,0.0005086894238904,0.0296245137491262,-5.9064035997302575,1.0541925777405304e-99,0.0,0.0,300,300,5,1.7002017893799273e-96,7.073599654535386e-99,98.15035952364853,8.0,-5.8904462312070525,8.0,reduced mobilization risk,PE_F | pH 6.5 | OM 8.0% | 1000 µm | Cd 5.0
PE_F,5.0,1.0,100,0.3,0.0032189742944425314,0.03484029933232263,0.0029630473120678,0.03109599781215565,-3.436083651070368,1.0541925777405304e-99,0.0,0.0,300,300,6,1.4168348244832727e-96,7.073599654535386e-99,98.15035952364853,8.0,-3.443384838200852,8.0,reduced mobilization risk,PE_F | pH 5.0 | OM 1.0% | 100 µm | Cd 0.3
PE_F,7.5,6.0,500,10.0,0.0007890079460110977,0.01935375450746428,0.0007227782799787,0.0171153372587166,-4.6164280736389705,1.0541925777405304e-99,0.0,0.0,300,300,7,1.214429849557091e-96,7.073599654535386e-99,98.15035952364853,8.0,-4.6242268068437244,7.970955269307187,reduced mobilization risk,PE_F | pH 7.5 | OM 6.0% | 500 µm | Cd 10.0
PE_F,7.5,6.0,1000,0.3,4.724315626844956e-05,0.0028327519140191842,4.3277545430444393e-05,0.00250717847190015,-5.905925068048854,1.0541925777405304e-99,0.0,0.0,300,300,8,1.0626261183624546e-96,7.073599654535386e-99,98.15035952364853,8.0,-5.8983291838543845,7.916836660702673,reduced mobilization risk,PE_F | pH 7.5 | OM 6.0% | 1000 µm | Cd 0.3
PE_F,7.5,6.0,1000,0.6,0.00010016208188922811,0.006005829237395821,9.17544336948688e-05,0.00531556812136895,-5.905940932769426,1.0541925777405304e-99,0.0,0.0,300,300,9,9.445565496555153e-97,7.073599654535386e-99,98.15035952364853,8.0,-5.9126324403245345,8.0,reduced mobilization risk,PE_F | pH 7.5 | OM 6.0% | 1000 µm | Cd 0.6
PE_F,7.5,6.0,1000,1.0,0.00013916150935198304,0.008344278052353393,0.0001274802324579,0.00738525466804,-5.905944901965016,1.0541925777405304e-99,0.0,0.0,300,300,10,8.501008946899637e-97,7.073599654535386e-99,98.15035952364853,8.0,-5.911592623494097,7.933589783898173,reduced mobilization risk,PE_F | pH 7.5 | OM 6.0% | 1000 µm | Cd 1.0
PE_F,5.0,0.5,250,0.3,0.0022471586595755157,0.03528618887636334,0.0020685375724665,0.0315158229457143,-3.972929123516069,1.0541925777405304e-99,0.0,0.0,300,300,11,7.728189951726942e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.954927428015841,7.980260112978905,reduced mobilization risk,PE_F | pH 5.0 | OM 0.5% | 250 µm | Cd 0.3
PE_F,7.5,8.0,250,0.6,0.00026648588517991847,0.00418096558628582,0.0002434595107091,0.00365202809759245,-3.971700074201398,1.0541925777405304e-99,0.0,0.0,300,300,12,7.084174122416364e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.958832444057054,8.0,reduced mobilization risk,PE_F | pH 7.5 | OM 8.0% | 250 µm | Cd 0.6
PE_F,7.5,8.0,250,1.0,0.00037024567883535604,0.005808879673444897,0.000338253681806,0.0050739933982092995,-3.9717014946822196,1.0541925777405304e-99,0.0,0.0,300,300,13,6.539237651461259e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.973304693073074,8.0,reduced mobilization risk,PE_F | pH 7.5 | OM 8.0% | 250 µm | Cd 1.0
PE_F,7.5,6.0,500,1.0,0.00034862045213612125,0.008551389984137524,0.0003193571015783,0.0075623530076749,-4.616425858004478,1.0541925777405304e-99,0.0,0.0,300,300,14,6.072149247785455e-97,7.073599654535386e-99,98.15035952364853,8.0,-4.6185627720841245,7.996091821769875,reduced mobilization risk,PE_F | pH 7.5 | OM 6.0% | 500 µm | Cd 1.0
PE_F,7.5,6.0,500,2.0,0.0004811902975077749,0.011803225729755323,0.0004407989771629,0.0104380878153441,-4.616426951639034,1.0541925777405304e-99,0.0,0.0,300,300,15,5.667339297933091e-97,7.073599654535386e-99,98.15035952364853,8.0,-4.6124040435723925,8.0,reduced mobilization risk,PE_F | pH 7.5 | OM 6.0% | 500 µm | Cd 2.0
PE_F,7.5,6.0,500,5.0,0.0006564381006394354,0.016101918761846485,0.0006013364043941,0.0142396024510475,-4.616427719423719,1.0541925777405304e-99,0.0,0.0,300,300,16,5.313130591812273e-97,7.073599654535386e-99,98.15035952364853,8.0,-4.631778179286691,8.0,reduced mobilization risk,PE_F | pH 7.5 | OM 6.0% | 500 µm | Cd 5.0
PE_F,8.0,4.0,1000,1.0,5.953721171919418e-05,0.0035670830675080885,5.415242798024445e-05,0.0030841891374906,-5.904785517143721,1.0541925777405304e-99,0.0,0.0,300,300,17,5.000593498176257e-97,7.073599654535386e-99,98.15035952364853,8.0,-5.914879273760128,7.977019043218181,reduced mobilization risk,PE_F | pH 8.0 | OM 4.0% | 1000 µm | Cd 1.0
PE_F,8.0,4.0,1000,2.0,8.217741800401444e-05,0.004923537193448731,7.474496338616089e-05,0.0042570132634096,-5.9047920815837465,1.0541925777405304e-99,0.0,0.0,300,300,18,4.722782748277576e-97,7.073599654535386e-99,98.15035952364853,8.0,-5.891085577078586,7.956140126684284,reduced mobilization risk,PE_F | pH 8.0 | OM 4.0% | 1000 µm | Cd 2.0
PE_F,6.5,8.0,100,0.3,0.0005990268384700764,0.00648202355557213,0.0005502788418273,0.0057438673681174,-3.4357495302766394,1.0541925777405304e-99,0.0,0.0,300,300,19,4.474215235210335e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.439011600105161,8.0,reduced mobilization risk,PE_F | pH 6.5 | OM 8.0% | 100 µm | Cd 0.3
PE_F,6.5,8.0,100,0.6,0.0012700204640808278,0.013742794204773272,0.001166667910667,0.0121778001117713,-3.435750685120657,1.0541925777405304e-99,0.0,0.0,300,300,20,4.2505044734498183e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.470111339512575,8.0,reduced mobilization risk,PE_F | pH 6.5 | OM 8.0% | 100 µm | Cd 0.6
PE_F,6.5,8.0,100,1.0,0.001764519680060794,0.019093732360366336,0.001620925447022,0.0169193871790236,-3.4357509740492844,1.0541925777405304e-99,0.0,0.0,300,300,21,4.0480994985236365e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.4476829420401147,8.0,reduced mobilization risk,PE_F | pH 6.5 | OM 8.0% | 100 µm | Cd 1.0
PE_F,6.5,8.0,100,5.0,0.003322518630856723,0.03595271972128002,0.0030521365433424,0.0318585163771292,-3.4357513220142706,1.0541925777405304e-99,0.0,0.0,300,300,22,3.864094975863471e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.4193357818819323,8.0,reduced mobilization risk,PE_F | pH 6.5 | OM 8.0% | 100 µm | Cd 5.0
PE_F,6.5,8.0,250,0.3,0.0004003795507237564,0.006285534201843763,0.0003677972025866,0.005590044954011299,-3.9725917934972093,1.0541925777405304e-99,0.0,0.0,300,300,23,3.6960908464781027e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.978398862799291,7.934597196778942,reduced mobilization risk,PE_F | pH 6.5 | OM 8.0% | 250 µm | Cd 0.3
PE_F,6.5,8.0,250,0.6,0.000848860502005819,0.01332620936385633,0.0007797813785935,0.011851675135054,-3.9725935759791637,1.0541925777405304e-99,0.0,0.0,300,300,24,3.542087061208182e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.976311896235072,7.986722738831723,reduced mobilization risk,PE_F | pH 6.5 | OM 8.0% | 250 µm | Cd 0.6
PE_F,6.5,8.0,250,1.0,0.0011793755327396316,0.018514944717960172,0.0010833995416514,0.0164662811418752,-3.9725940219356732,1.0541925777405304e-99,0.0,0.0,300,300,25,3.400403578759855e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.9565481062313923,8.0,reduced mobilization risk,PE_F | pH 6.5 | OM 8.0% | 250 µm | Cd 1.0
PE_F,6.5,8.0,250,2.0,0.0016278564840216912,0.025555619879972742,0.0014953837176583,0.02272791132291795,-3.972594337483828,1.0541925777405304e-99,0.0,0.0,300,300,26,3.2696188257306297e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.926979079860942,7.980291508639549,reduced mobilization risk,PE_F | pH 6.5 | OM 8.0% | 250 µm | Cd 2.0
PE_F,6.5,8.0,250,10.0,0.002669197004825325,0.041903561345625354,0.0024519813505776,0.037266966360075704,-3.9725946612161023,1.0541925777405304e-99,0.0,0.0,300,300,27,3.1485218321850506e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.9904243780128095,8.0,reduced mobilization risk,PE_F | pH 6.5 | OM 8.0% | 250 µm | Cd 10.0
PE_F,8.0,6.0,500,5.0,0.00020351423651270627,0.0049854351408104534,0.0001842286428268,0.00423873685445235,-4.614511007951883,1.0541925777405304e-99,0.0,0.0,300,300,28,3.0360746238927275e-97,7.073599654535386e-99,98.15035952364853,8.0,-4.5808058376160306,7.971991650071302,reduced mobilization risk,PE_F | pH 8.0 | OM 6.0% | 500 µm | Cd 5.0
PE_F,8.0,6.0,500,0.3,3.6692191444673896e-05,0.0008988390382711966,3.321513397797461e-05,0.00076421456706005,-4.614480094209276,1.0541925777405304e-99,0.0,0.0,300,300,29,2.9313823954826334e-97,7.073599654535386e-99,98.15035952364853,8.0,-4.645230413592773,8.0,reduced mobilization risk,PE_F | pH 8.0 | OM 6.0% | 500 µm | Cd 0.3
