fragment_condition,particle_size_class,MRI_class,Msoil_class,Cd_loading_class,CMI_regime,count,CMI_mean,CMI_max,fraction
PET_COOH | oxidized,large MP,high MRI,high soil mobilization potential,high Cd loading,aging-amplified mobilization,860,0.4289553094734136,0.5621170640038265,0.00026661706349206347
PET_COOH | oxidized,large MP,high MRI,high soil mobilization potential,low Cd loading,conditional retention,430,0.07024457573683403,0.0843175596005739,0.00013330853174603173
PET_COOH | oxidized,large MP,high MRI,high soil mobilization potential,low Cd loading,mobilization regime,430,0.1489282999477946,0.178764988973742,0.00013330853174603173
PET_COOH | oxidized,large MP,high MRI,high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,430,0.2855992217230956,0.3428169242523777,0.00013330853174603173
PET_COOH | oxidized,large MP,high MRI,high soil mobilization potential,moderate Cd loading,mobilization regime,430,0.20691549751213503,0.2483694948792096,0.00013330853174603173
PET_COOH | oxidized,large MP,high MRI,low soil mobilization potential,high Cd loading,conditional retention,13056,0.06250556684255923,0.0999359366690756,0.004047619047619047
PET_COOH | oxidized,large MP,high MRI,low soil mobilization potential,high Cd loading,immobilization-dominant regime,8931,0.011392433999602145,0.0299971326642847,0.0027687872023809523
PET_COOH | oxidized,large MP,high MRI,low soil mobilization potential,high Cd loading,mobilization regime,4703,0.11955158892571213,0.1499749028772031,0.0014580233134920634
PET_COOH | oxidized,large MP,high MRI,low soil mobilization potential,low Cd loading,conditional retention,3426,0.038350322093498604,0.0476951574254268,0.0010621279761904763
PET_COOH | oxidized,large MP,high MRI,low soil mobilization potential,low Cd loading,immobilization-dominant regime,23264,0.006670205252515331,0.0299996036023947,0.0072123015873015875
PET_COOH | oxidized,large MP,high MRI,low soil mobilization potential,moderate Cd loading,conditional retention,12825,0.05275843669236814,0.0914648179388161,0.003976004464285714
PET_COOH | oxidized,large MP,high MRI,low soil mobilization potential,moderate Cd loading,immobilization-dominant regime,13865,0.009388700423476962,0.0299991151105554,0.0042984250992063495
PET_COOH | oxidized,large MP,high MRI,low-to-moderate soil mobilization potential,high Cd loading,aging-amplified mobilization,262,0.25617743008529686,0.2623272980267697,8.122519841269842e-05
PET_COOH | oxidized,large MP,high MRI,low-to-moderate soil mobilization potential,high Cd loading,mobilization regime,7118,0.17845041863319447,0.2497956875743556,0.00220672123015873
PET_COOH | oxidized,large MP,high MRI,low-to-moderate soil mobilization potential,low Cd loading,conditional retention,5317,0.05416091939114052,0.0834255701210091,0.001648375496031746
PET_COOH | oxidized,large MP,high MRI,low-to-moderate soil mobilization potential,low Cd loading,immobilization-dominant regime,2063,0.026019165962080558,0.0299815704627411,0.0006395709325396825
PET_COOH | oxidized,large MP,high MRI,low-to-moderate soil mobilization potential,moderate Cd loading,conditional retention,3489,0.08404995169221295,0.0999731250776004,0.0010816592261904763
PET_COOH | oxidized,large MP,high MRI,low-to-moderate soil mobilization potential,moderate Cd loading,mobilization regime,3891,0.12194595368349087,0.1599848914324398,0.0012062872023809524
PET_COOH | oxidized,large MP,high MRI,moderate soil mobilization potential,high Cd loading,aging-amplified mobilization,2706,0.30963493280134974,0.4124417535978009,0.0008389136904761905
PET_COOH | oxidized,large MP,high MRI,moderate soil mobilization potential,high Cd loading,mobilization regime,634,0.2336375073762902,0.2499385554446057,0.00019655257936507936
PET_COOH | oxidized,large MP,high MRI,moderate soil mobilization potential,low Cd loading,conditional retention,2499,0.06259481911762582,0.0999571490074476,0.0007747395833333333
PET_COOH | oxidized,large MP,high MRI,moderate soil mobilization potential,low Cd loading,mobilization regime,841,0.11352122516000326,0.1311651082232931,0.0002607266865079365
PET_COOH | oxidized,large MP,high MRI,moderate soil mobilization potential,moderate Cd loading,aging-amplified mobilization,11,0.2509542916302469,0.2515348180226968,3.410218253968254e-06
PET_COOH | oxidized,large MP,high MRI,moderate soil mobilization potential,moderate Cd loading,mobilization regime,3329,0.16920625033595768,0.2499653951995959,0.0010320560515873017
PET_COOH | oxidized,large MP,high MRI,very high soil mobilization potential,high Cd loading,aging-amplified mobilization,130,0.5621365255292311,0.7499736068117154,4.0302579365079364e-05
PET_COOH | oxidized,large MP,high MRI,very high soil mobilization potential,low Cd loading,conditional retention,57,0.09025645010557684,0.0996876403757649,1.7671130952380952e-05
PET_COOH | oxidized,large MP,high MRI,very high soil mobilization potential,low Cd loading,mobilization regime,73,0.18527073135462338,0.2385073005920724,2.2631448412698412e-05
PET_COOH | oxidized,large MP,high MRI,very high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,130,0.3227148690416863,0.4573845229432568,4.0302579365079364e-05
PET_COOH | oxidized,large MP,very high MRI,high soil mobilization potential,high Cd loading,aging-amplified mobilization,860,0.42876953248191785,0.5733984008270706,0.00026661706349206347
PET_COOH | oxidized,large MP,very high MRI,high soil mobilization potential,low Cd loading,conditional retention,430,0.07021415339291828,0.0860097601240605,0.00013330853174603173
PET_COOH | oxidized,large MP,very high MRI,high soil mobilization potential,low Cd loading,mobilization regime,430,0.14886380033466046,0.1823526901519482,0.00013330853174603173
PET_COOH | oxidized,large MP,very high MRI,high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,437,0.28511084306496715,0.3496970448515512,0.00013547867063492064
PET_COOH | oxidized,large MP,very high MRI,high soil mobilization potential,moderate Cd loading,mobilization regime,423,0.20645282220500416,0.2499693365360472,0.00013113839285714286
PET_COOH | oxidized,large MP,very high MRI,low soil mobilization potential,high Cd loading,conditional retention,12845,0.06860601783722312,0.0999711623908433,0.003982204861111111
PET_COOH | oxidized,large MP,very high MRI,low soil mobilization potential,high Cd loading,immobilization-dominant regime,8801,0.020918251133862628,0.0299940680343912,0.002728484623015873
PET_COOH | oxidized,large MP,very high MRI,low soil mobilization potential,high Cd loading,mobilization regime,5044,0.12119862521679263,0.1529848050892795,0.0015637400793650793
