feature,model,permutation_importance_mean,permutation_importance_sd,tree_importance,R2,MAE
pH,mechanistic_surrogate_light,0.7782032190077336,0.006289510169353876,0.27574951727228303,0.9351429787846226,0.008345332292970837
log_Cd_total_mg_kg,mechanistic_surrogate_light,0.5882538651967805,0.008277838656944413,0.247921194975074,0.9351429787846226,0.008345332292970837
organic_matter_percent,mechanistic_surrogate_light,0.21952717028303284,0.013758668037036263,0.10705290951941852,0.9351429787846226,0.008345332292970837
CEC_cmol_kg,mechanistic_surrogate_light,0.20358854088743628,0.009711403436575653,0.09851927067977499,0.9351429787846226,0.008345332292970837
clay_percent,mechanistic_surrogate_light,0.15095095827154628,0.005384545215004442,0.08314333597557172,0.9351429787846226,0.008345332292970837
Cd_O_contacts,mechanistic_surrogate_light,0.1315616875474931,0.004047285462552544,0.07947951823926167,0.9351429787846226,0.008345332292970837
polarity_score,mechanistic_surrogate_light,0.020346258781484033,0.0006072924643988344,0.028320989644514443,0.9351429787846226,0.008345332292970837
fragment_id_PET_COOH,mechanistic_surrogate_light,0.016886343907751716,0.0001443622268948856,0.010458989715279421,0.9351429787846226,0.008345332292970837
oxidation_score,mechanistic_surrogate_light,0.012584592781806828,0.0007734519196262031,0.023314790689250218,0.9351429787846226,0.008345332292970837
fragment_id_PE_F,mechanistic_surrogate_light,0.006576035548007009,0.0005918360614050056,0.017798036894310816,0.9351429787846226,0.008345332292970837
safe_molecular_reactivity_score,mechanistic_surrogate_light,0.004298571633769159,0.0004577825790448331,0.012941565873505723,0.9351429787846226,0.008345332292970837
DFT_dipole_D,mechanistic_surrogate_light,0.0031131825151711943,8.744554187795262e-05,0.002294259159948771,0.9351429787846226,0.008345332292970837
DFT_gap_eV,mechanistic_surrogate_light,0.002272836802673465,0.0002909048184719581,0.010033944015842611,0.9351429787846226,0.008345332292970837
log_particle_size_um,mechanistic_surrogate_light,0.0022256920892670027,3.611532522716215e-05,0.0007883006848455749,0.9351429787846226,0.008345332292970837
DFT_Cd_mulliken_charge,mechanistic_surrogate_light,0.000977779882642101,4.925644593054156e-05,0.001355572956404513,0.9351429787846226,0.008345332292970837
moisture_percent,mechanistic_surrogate_light,0.0008280855098840023,0.00015932656909488542,0.0005187436958173728,0.9351429787846226,0.008345332292970837
log_ionic_strength_M,mechanistic_surrogate_light,0.0005576346145135987,0.00010881588665963397,0.00030228930514488876,0.9351429787846226,0.008345332292970837
polymer_PE,mechanistic_surrogate_light,2.857052496030299e-06,2.486903903597418e-06,8.074445534051539e-07,0.9351429787846226,0.008345332292970837
condition_fresh,mechanistic_surrogate_light,2.5989087691913326e-06,2.342609475828393e-06,4.166833830692091e-06,0.9351429787846226,0.008345332292970837
fragment_id_PET_F,mechanistic_surrogate_light,8.785099511558295e-07,1.204108072189943e-06,7.87086499105404e-07,0.9351429787846226,0.008345332292970837
contact_vs_reference_delta_kcal_mol,mechanistic_surrogate_light,2.2984327914995126e-07,2.1381135699732728e-08,1.5157634832323423e-07,0.9351429787846226,0.008345332292970837
fragment_id_PE_COOH,mechanistic_surrogate_light,7.911778883891903e-08,4.792374581661857e-08,1.614664239630087e-07,0.9351429787846226,0.008345332292970837
Cd_MP_O_min_A,mechanistic_surrogate_light,8.520979662603642e-09,5.134811326424252e-09,9.261105375825914e-08,0.9351429787846226,0.008345332292970837
polymer_PET,mechanistic_surrogate_light,-7.130477571356171e-08,2.81813370585004e-08,2.1186459101071457e-07,0.9351429787846226,0.008345332292970837
condition_oxidized,mechanistic_surrogate_light,-1.8122821698884906e-07,1.3413779679711508e-07,1.9593790959190173e-07,0.9351429787846226,0.008345332292970837
aging_score,mechanistic_surrogate_light,-2.1946554847514696e-07,1.1054698120235108e-07,1.9588254197544265e-07,0.9351429787846226,0.008345332292970837
