complex_id,fragment_id,polymer,condition,functional_group,cd_model,pose_number,binding_site,active_atom,active_atom_index,initial_distance_A,charge,multiplicity,n_fragment_atoms,n_total_atoms,input_xyz,xtb_input_xyz,calculation_stage
PE_F_CdH2O6_pose01,PE_F,PE,fresh,alkyl,Cd_H2O6,1,C_site_index_3,C,3,3.3,2,1,32,51,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/03_initial_complexes/PE_F_CdH2O6/PE_F_CdH2O6_pose01.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/input_structures/PE_F_CdH2O6_pose01.xyz,GFN2-xTB_ALPB_water
PE_F_CdH2O6_pose02,PE_F,PE,fresh,alkyl,Cd_H2O6,2,C_site_index_4,C,4,3.3,2,1,32,51,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/03_initial_complexes/PE_F_CdH2O6/PE_F_CdH2O6_pose02.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/input_structures/PE_F_CdH2O6_pose02.xyz,GFN2-xTB_ALPB_water
PE_F_CdH2O6_pose03,PE_F,PE,fresh,alkyl,Cd_H2O6,3,C_site_index_5,C,5,3.3,2,1,32,51,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/03_initial_complexes/PE_F_CdH2O6/PE_F_CdH2O6_pose03.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/input_structures/PE_F_CdH2O6_pose03.xyz,GFN2-xTB_ALPB_water
PE_F_CdH2O6_pose04,PE_F,PE,fresh,alkyl,Cd_H2O6,4,C_site_index_6,C,6,3.9,2,1,32,51,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/03_initial_complexes/PE_F_CdH2O6/PE_F_CdH2O6_pose04.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/input_structures/PE_F_CdH2O6_pose04.xyz,GFN2-xTB_ALPB_water
PE_F_CdH2O6_pose05,PE_F,PE,fresh,alkyl,Cd_H2O6,5,C_site_index_7,C,7,5.5,2,1,32,51,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/03_initial_complexes/PE_F_CdH2O6/PE_F_CdH2O6_pose05.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/input_structures/PE_F_CdH2O6_pose05.xyz,GFN2-xTB_ALPB_water
PE_COOH_CdH2O6_pose01,PE_COOH,PE,oxidized,terminal_COOH,Cd_H2O6,1,O_site_index_9,O,9,2.8,2,1,29,48,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/03_initial_complexes/PE_COOH_CdH2O6/PE_COOH_CdH2O6_pose01.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/input_structures/PE_COOH_CdH2O6_pose01.xyz,GFN2-xTB_ALPB_water
PE_COOH_CdH2O6_pose02,PE_COOH,PE,oxidized,terminal_COOH,Cd_H2O6,2,O_site_index_10,O,10,2.8,2,1,29,48,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/03_initial_complexes/PE_COOH_CdH2O6/PE_COOH_CdH2O6_pose02.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/input_structures/PE_COOH_CdH2O6_pose02.xyz,GFN2-xTB_ALPB_water
PE_COOH_CdH2O6_pose03,PE_COOH,PE,oxidized,terminal_COOH,Cd_H2O6,3,O_site_index_9,O,9,2.8,2,1,29,48,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/03_initial_complexes/PE_COOH_CdH2O6/PE_COOH_CdH2O6_pose03.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/input_structures/PE_COOH_CdH2O6_pose03.xyz,GFN2-xTB_ALPB_water
PE_COOH_CdH2O6_pose04,PE_COOH,PE,oxidized,terminal_COOH,Cd_H2O6,4,O_site_index_10,O,10,3.4,2,1,29,48,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/03_initial_complexes/PE_COOH_CdH2O6/PE_COOH_CdH2O6_pose04.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/input_structures/PE_COOH_CdH2O6_pose04.xyz,GFN2-xTB_ALPB_water
PE_COOH_CdH2O6_pose05,PE_COOH,PE,oxidized,terminal_COOH,Cd_H2O6,5,O_site_index_9,O,9,5.5,2,1,29,48,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/03_initial_complexes/PE_COOH_CdH2O6/PE_COOH_CdH2O6_pose05.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/input_structures/PE_COOH_CdH2O6_pose05.xyz,GFN2-xTB_ALPB_water
PET_F_CdH2O6_pose01,PET_F,PET,fresh,aromatic_diester,Cd_H2O6,1,O_site_index_11,O,11,2.8,2,1,30,49,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/03_initial_complexes/PET_F_CdH2O6/PET_F_CdH2O6_pose01.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/input_structures/PET_F_CdH2O6_pose01.xyz,GFN2-xTB_ALPB_water
PET_F_CdH2O6_pose02,PET_F,PET,fresh,aromatic_diester,Cd_H2O6,2,O_site_index_12,O,12,2.8,2,1,30,49,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/03_initial_complexes/PET_F_CdH2O6/PET_F_CdH2O6_pose02.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/input_structures/PET_F_CdH2O6_pose02.xyz,GFN2-xTB_ALPB_water
PET_F_CdH2O6_pose03,PET_F,PET,fresh,aromatic_diester,Cd_H2O6,3,O_site_index_21,O,21,2.8,2,1,30,49,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/03_initial_complexes/PET_F_CdH2O6/PET_F_CdH2O6_pose03.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/input_structures/PET_F_CdH2O6_pose03.xyz,GFN2-xTB_ALPB_water
PET_F_CdH2O6_pose04,PET_F,PET,fresh,aromatic_diester,Cd_H2O6,4,O_site_index_22,O,22,3.4,2,1,30,49,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/03_initial_complexes/PET_F_CdH2O6/PET_F_CdH2O6_pose04.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/input_structures/PET_F_CdH2O6_pose04.xyz,GFN2-xTB_ALPB_water
PET_F_CdH2O6_pose05,PET_F,PET,fresh,aromatic_diester,Cd_H2O6,5,O_site_index_11,O,11,5.5,2,1,30,49,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/03_initial_complexes/PET_F_CdH2O6/PET_F_CdH2O6_pose05.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/input_structures/PET_F_CdH2O6_pose05.xyz,GFN2-xTB_ALPB_water
PET_COOH_CdH2O6_pose01,PET_COOH,PET,oxidized,ester_plus_COOH,Cd_H2O6,1,O_site_index_11,O,11,2.8,2,1,24,43,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/03_initial_complexes/PET_COOH_CdH2O6/PET_COOH_CdH2O6_pose01.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/input_structures/PET_COOH_CdH2O6_pose01.xyz,GFN2-xTB_ALPB_water
PET_COOH_CdH2O6_pose02,PET_COOH,PET,oxidized,ester_plus_COOH,Cd_H2O6,2,O_site_index_12,O,12,2.8,2,1,24,43,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/03_initial_complexes/PET_COOH_CdH2O6/PET_COOH_CdH2O6_pose02.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/input_structures/PET_COOH_CdH2O6_pose02.xyz,GFN2-xTB_ALPB_water
PET_COOH_CdH2O6_pose03,PET_COOH,PET,oxidized,ester_plus_COOH,Cd_H2O6,3,O_site_index_21,O,21,2.8,2,1,24,43,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/03_initial_complexes/PET_COOH_CdH2O6/PET_COOH_CdH2O6_pose03.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/input_structures/PET_COOH_CdH2O6_pose03.xyz,GFN2-xTB_ALPB_water
PET_COOH_CdH2O6_pose04,PET_COOH,PET,oxidized,ester_plus_COOH,Cd_H2O6,4,O_site_index_22,O,22,3.4,2,1,24,43,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/03_initial_complexes/PET_COOH_CdH2O6/PET_COOH_CdH2O6_pose04.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/input_structures/PET_COOH_CdH2O6_pose04.xyz,GFN2-xTB_ALPB_water
PET_COOH_CdH2O6_pose05,PET_COOH,PET,oxidized,ester_plus_COOH,Cd_H2O6,5,O_site_index_11,O,11,5.5,2,1,24,43,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/03_initial_complexes/PET_COOH_CdH2O6/PET_COOH_CdH2O6_pose05.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/04_xtb_screening/input_structures/PET_COOH_CdH2O6_pose05.xyz,GFN2-xTB_ALPB_water
